Mkt-RF_percent,SMB_percent,HML_percent,RMW_percent,CMA_percent,RF_percent,Mkt-RF,SMB,HML,RMW,CMA,RF
0.01,0.89,-0.37,-1.13,-0.6,0.025,0.0001,0.0089,-0.0037,-0.0113,-0.006,0.00025
-1.23,0.06,0.98,-0.17,0.96,0.025,-0.0123,0.0006,0.0098,-0.0017,0.0096,0.00025
-1.8,-0.44,0.55,1.33,0.51,0.025,-0.018,-0.0044,0.0055,0.0133,0.0051,0.00025
1.24,-0.3,-1.53,-1,-1.53,0.025,0.0124,-0.003,-0.0153,-0.01,-0.0153,0.00025
-0.39,0.29,-0.59,0.36,-0.41,0.025,-0.0039,0.0029,-0.0059,0.0036,-0.0041,0.00025
-0.54,-0.58,1.08,1.44,1.24,0.025,-0.0054,-0.0058,0.0108,0.0144,0.0124,0.00025
0.4,-0.6,-0.15,-0.97,0.99,0.025,0.004,-0.006,-0.0015,-0.0097,0.0099,0.00025
-0.56,-0.18,0.45,0.07,0.28,0.025,-0.0056,-0.0018,0.0045,0.0007,0.0028,0.00025
-0.96,-0.27,1.12,0.48,0.52,0.025,-0.0096,-0.0027,0.0112,0.0048,0.0052,0.00025
-0.21,-0.58,0.33,0.59,0.72,0.025,-0.0021,-0.0058,0.0033,0.0059,0.0072,0.00025
2.32,0,-1.21,-0.75,-0.93,0.025,0.0232,0,-0.0121,-0.0075,-0.0093,0.00025
-1.26,1.15,1.25,-0.01,1.34,0.025,-0.0126,0.0115,0.0125,-0.0001,0.0134,0.00025
-0.7,-1.11,1.47,1.8,0.65,0.025,-0.007,-0.0111,0.0147,0.018,0.0065,0.00025
-1.29,0.2,1.05,1.56,0.93,0.025,-0.0129,0.002,0.0105,0.0156,0.0093,0.00025
0.64,-0.27,-0.65,-0.59,-1.35,0.025,0.0064,-0.0027,-0.0065,-0.0059,-0.0135,0.00025
-0.23,-0.32,0.08,1.36,1.17,0.025,-0.0023,-0.0032,0.0008,0.0136,0.0117,0.00025
-2.17,0.06,1.57,1.45,0.86,0.025,-0.0217,0.0006,0.0157,0.0145,0.0086,0.00025
-0.39,-0.43,0.51,-0.68,-0.07,0.025,-0.0039,-0.0043,0.0051,-0.0068,-0.0007,0.00025
-1.44,0.14,0.69,0.67,1.35,0.025,-0.0144,0.0014,0.0069,0.0067,0.0135,0.00025
-1.77,0.22,0.85,1.62,0.92,0.025,-0.0177,0.0022,0.0085,0.0162,0.0092,0.00025
-2.83,0.81,1.21,1.78,0.84,0.025,-0.0283,0.0081,0.0121,0.0178,0.0084,0.00025
3.88,-1.06,-2.36,-1.84,-2.59,0.025,0.0388,-0.0106,-0.0236,-0.0184,-0.0259,0.00025
0.24,-0.27,-0.47,-0.64,1.1,0.025,0.0024,-0.0027,-0.0047,-0.0064,0.011,0.00025
-1.95,0.16,0.59,1.66,0.94,0.025,-0.0195,0.0016,0.0059,0.0166,0.0094,0.00025
-0.84,-0.09,0.6,0.76,0.43,0.025,-0.0084,-0.0009,0.006,0.0076,0.0043,0.00025
