"","V1"
"2243",0.0347084
"2244",0.009586913
"2245",-0.09353652
"2246",0.03916366
"2247",0.02550805
"2248",-0.0297465
"2249",0.03584909
"2250",0.03766888
"2251",-0.02338894
"2252",0.01182401
"2253",-0.02893876
"2254",0.007003831
"2255",-0.01276683
"2256",0.05008482
"2257",-0.00963917
"2258",-0.02138982
"2259",0.002932592
"2260",-0.01847158
"2261",-0.009764985
"2262",0.005764496
"2263",0.005341882
"2264",-0.003880118
"2265",0.02411402
"2266",0.01405905
"2267",0.03111882
"2268",-0.004679289
"2269",0.007786737
"2270",-0.03046912
"2271",0.003391316
"2272",-0.02153321
"2273",-0.02282259
"2274",0.001756515
"2275",-0.03403246
"2276",0.001328299
"2277",0.007533132
"2278",-0.05426201
"2279",0.04257206
"2280",-0.01527845
"2281",0.00536325
"2282",0.00553785
"2283",0.01086633
"2284",0.03300684
"2285",-0.03368106
"2286",-0.02305282
"2287",-0.0005429107
"2288",0.01569994
"2289",-0.007527698
"2290",0.01622319
"2291",0.02653068
"2292",0.001474092
"2293",-0.05037867
"2294",0.007913477
"2295",0.001727655
"2296",-0.01005801
"2297",-0.0466395
"2298",-0.0009608175
"2299",-0.0121069
"2300",-0.01148859
"2301",-0.03532532
"2302",0.03931005
"2303",-0.01072503
"2304",-0.01591568
"2305",-0.02385648
"2306",-0.04775189
"2307",-0.006437378
"2308",0.02346536
"2309",-0.0434733
"2310",0.001205314
"2311",-0.01008425
"2312",0.06170863
"2313",0.00243283
"2314",0.03991108
"2315",0.007699236
"2316",-0.00353212
"2317",0.03162426
"2318",0.02063339
"2319",-0.01307413
"2320",-0.01997743
"2321",0.06835639
"2322",-0.02063636
"2323",0.009570333
"2324",0.0230426
"2325",-0.02053472
"2326",-0.03544932
"2327",0.01303417
"2328",0.01641104
"2329",0.02831223
"2330",0.009674722
"2331",-0.008377276
"2332",-0.02415367
"2333",0.01170456
"2334",0.03733709
"2335",0.002520165
"2336",-0.02027852
"2337",0.01246093
"2338",0.01540931
"2339",0.004947054
"2340",-0.04374221
"2341",0.02101938
"2342",-0.00772132
"2343",0.009863443
"2344",0.01664783
"2345",-0.01012759
"2346",-0.002754298
"2347",0.02136985
"2348",-0.0009605191
"2349",0.00538188
"2350",0.03330724
"2351",-0.003798929
"2352",0.01725462
"2353",-0.01329034
"2354",0.0237839
"2355",-0.02174719
"2356",-0.0009793343
"2357",-0.0272632
"2358",0.01029843
"2359",-0.01147568
"2360",0.02993659
"2361",-0.001738346
"2362",-0.005144672
"2363",-0.01689956
"2364",-0.001498332
"2365",0.02596221
"2366",-0.01915342
"2367",0.01530125
"2368",0.01348345
"2369",0.02548994
"2370",0.001981337
"2371",-0.01383447
"2372",0.01141822
"2373",-0.002517857
"2374",-0.001011065
"2375",0.00349706
"2376",-0.003486402
"2377",0.006093298
"2378",0.001396021
"2379",-0.02405559
"2380",-0.0128019
"2381",-0.001382524
"2382",0.008375815
"2383",0.003109358
"2384",-0.03107836
"2385",0.002304069
"2386",0.006503248
"2387",0.02121758
"2388",-0.001478921
"2389",0.009024297
"2390",-0.008567351
"2391",0.004342445
"2392",-0.02958768
"2393",0.002552462
"2394",-0.01988979
"2395",-0.00167993
"2396",0.003530946
"2397",-0.004039938
"2398",0.02461795
"2399",0.005291983
"2400",0.02918944
"2401",0.008594634
"2402",-0.0003927348
"2403",0.0113567
"2404",0.003610714
"2405",-0.0005444196
"2406",0.0230126
"2407",0.003027544
"2408",0.002967389
"2409",-0.002619848
"2410",-0.004583406
"2411",0.01181538
"2412",0.0007295086
"2413",0.01521561
"2414",0.00299757
"2415",-0.002927844
"2416",-0.005650533
"2417",0.0133397
"2418",-0.003360556
"2419",-0.01275094
"2420",0.01144923
"2421",0.00684645
"2422",-0.008577949
"2423",-0.02456996
"2424",0.01008453
"2425",0.006827483
"2426",0.01087923
"2427",0.01844148
"2428",-0.0005559463
"2429",0.002356664
"2430",0.0001067198
"2431",0.0027679
"2432",-0.002000307
"2433",-0.008119199
"2434",-0.02237223
"2435",-0.003301884
"2436",0.008498582
"2437",0.01303224
"2438",0.008806047
"2439",0.007752259
"2440",0.01036829
"2441",-0.00135134
"2442",0.006319108
"2443",0.003130436
"2444",0.01520731
"2445",-0.003064329
"2446",0.002633868
"2447",-0.003413115
"2448",0.006553349
"2449",-0.01011956
"2450",-0.009556548
"2451",-0.00610936
"2452",0.01765285
"2453",-0.002232066
"2454",-0.003333852
"2455",-0.02609721
"2456",-0.004515706
"2457",0.01476545
"2458",0.01361242
"2459",0.002707936
"2460",0.007442145
"2461",0.005624811
"2462",0.004376777
"2463",-0.002791505
"2464",0.01739374
"2465",0.00414885
"2466",-0.008131024
"2467",0.009361366
"2468",-0.006258649
"2469",-0.008893235
"2470",0.01058737
"2471",-0.01225331
"2472",-0.01178651
"2473",-0.003323307
"2474",-0.01973439
"2475",0.02227012
"2476",-0.02846603
"2477",0.006435654
"2478",0.002423064
"2479",0.001042077
"2480",0.01905289
"2481",0.002500124
"2482",0.02199508
"2483",-6.399188e-05
"2484",0.005019358
"2485",-0.01031236
"2486",0.005722887
"2487",0.01436398
"2488",0.0009189835
"2489",-0.0004683504
"2490",-0.01351681
"2491",-0.003220102
"2492",0.01352391
"2493",-0.0005334497
"2494",0.004494007
"2495",-0.0173837
"2496",0.003785819
"2497",0.0120029
"2498",0.0003426401
"2499",-0.008437597
"2500",0.005494312
"2501",-0.002471433
"2502",-0.01030449
"2503",0.003665646
"2504",0.005822721
"2505",0.003676327
"2506",0.006935296
"2507",-0.005562408
"2508",0.001127594
"2509",-0.01188091
"2510",0.005812952
"2511",0.01044898
"2512",0.003557214
"2513",0.00229602
"2514",0.005242407
"2515",0.001153415
"2516",-0.001402034
"2517",0.0001954107
"2518",-0.01010044
"2519",0.01591608
"2520",0.003110833
"2521",0.0005453718
"2522",0.003993218
"2523",0.002877583
"2524",0.001745232
"2525",-0.009425446
"2526",0.008291456
"2527",0.002423486
"2528",-0.01088213
"2529",0.01242215
"2530",-0.01065439
"2531",-0.01912666
"2532",-0.02238978
"2533",0.004587559
"2534",-0.004212058
"2535",0.004868283
"2536",-0.01188813
"2537",-0.009877799
"2538",0.01416531
"2539",0.01288952
"2540",-0.00548935
"2541",-0.03163586
"2542",0.00289293
"2543",-0.008902803
"2544",0.01295584
"2545",-0.00223507
"2546",0.009633883
"2547",-0.002748366
"2548",0.01784065
"2549",0.004229005
"2550",0.006563158
"2551",0.002184235
"2552",-0.001046405
"2553",-0.01217664
"2554",0.009673519
"2555",-0.002083209
"2556",0.001404393
"2557",0.01010726
"2558",0.002327731
"2559",0.0004291091
"2560",0.003729156
"2561",0.01391028
"2562",-0.0001756113
"2563",0.001711272
"2564",0.004514355
"2565",0.004033374
"2566",-0.0002173696
"2567",0.000452093
"2568",0.007749015
"2569",0.005804795
"2570",-0.0003258992
"2571",-0.005099427
"2572",0.00508236
"2573",0.007145377
"2574",-0.005508448
"2575",-0.001705622
"2576",0.0007374512
"2577",0.005667146
"2578",4.265861e-05
"2579",-0.003278242
"2580",0.007376454
"2581",0.007886729
"2582",0.001672879
"2583",-0.005904043
"2584",0.003358661
"2585",0.006651669
"2586",0.001755051
"2587",0.0006751666
