Mkt-RF_percent,SMB_percent,HML_percent,RMW_percent,CMA_percent,RF_percent,Mkt-RF,SMB,HML,RMW,CMA,RF
-0.0307,-0.0311,0.0416,0.0096,0.0254,0.004,-3.07,-3.11,4.16,0.96,2.54,0.4
0.0318,-0.0368,-0.0233,-0.0052,-0.0293,0.0041,3.18,-3.68,-2.33,-0.52,-2.93,0.41
-0.0246,-0.0532,-0.0096,0.0182,0.0045,0.004,-2.46,-5.32,-0.96,1.82,0.45,0.4
-0.1608,-0.0502,0.034,0.0347,0.0584,0.0043,-16.08,-5.02,3.4,3.47,5.84,0.43
0.0615,-0.0084,-0.0331,-0.0151,-0.0291,0.0046,6.15,-0.84,-3.31,-1.51,-2.91,0.46
0.0713,-0.0351,-0.0221,0.0059,0.0029,0.0032,7.13,-3.51,-2.21,0.59,0.29,0.32
0.061,0.0064,-0.0315,-0.0124,-0.0115,0.0031,6.1,0.64,-3.15,-1.24,-1.15,0.31
0.0616,-0.0151,-0.0446,-0.0075,-0.0333,0.0038,6.16,-1.51,-4.46,-0.75,-3.33,0.38
0.035,-0.0075,-0.0403,-0.0269,-0.0686,0.0035,3.5,-0.75,-4.03,-2.69,-6.86,0.35
-0.0408,-0.0515,0.014,-0.0171,0.0409,0.0035,-4.08,-5.15,1.4,-1.71,4.09,0.35
0.0345,-0.0429,-0.0265,-0.042,-0.014,0.0043,3.45,-4.29,-2.65,-4.2,-1.4,0.43
0.0433,0.0467,0.0253,-0.0242,0.0092,0.0037,4.33,4.67,2.53,-2.42,0.92,0.37
-0.0246,0.0373,0.024,0.0109,0.0336,0.0034,-2.46,3.73,2.4,1.09,3.36,0.34
0.0477,0.0225,-0.036,0.0132,-0.0338,0.004,4.77,2.25,-3.6,1.32,-3.38,0.4
-0.0349,0.0253,-0.0076,0.0049,0.0311,0.0038,-3.49,2.53,-0.76,0.49,3.11,0.38
-0.0138,-0.0193,-0.0131,-0.003,0.0031,0.0039,-1.38,-1.93,-1.31,-0.3,0.31,0.39
